Num,KS,fillQual,SType
37,0.283956872154263,2,LHS
37,0.267390844754193,3,LHS
37,0.30887176452071,3,LHS
37,0.405296377378249,9,LHS
37,0.411546872281811,5,LHS
37,0.489214517206207,3,LHS
37,0.37757163461962,5,LHS
37,0.322674729063722,4,LHS
37,0.295681413992895,8,LHS
37,0.267655075590232,4,LHS
37,0.493920037259614,3,LHS
37,0.366802664609428,6,LHS
37,0.346198807971106,6,LHS
37,0.38767270868691,2,LHS
37,0.349726368790497,3,LHS
41,0.496604352036583,6,LHS
41,0.326536949900566,2,LHS
41,0.342369926550765,8,LHS
41,0.426058566915793,6,LHS
41,0.25265207665529,5,LHS
41,0.267178103804819,8,LHS
41,0.306179098324814,5,LHS
41,0.35580847023459,5,LHS
41,0.420558217510696,3,LHS
41,0.37882368493094,4,LHS
41,0.268148800886085,4,LHS
41,0.369020587074136,5,LHS
41,0.486857723834341,4,LHS
41,0.343322608117709,4,LHS
41,0.265677727819066,2,LHS
41,0.277962089576574,4,LHS
41,0.298769037949938,4,LHS
41,0.325113700536395,2,LHS
41,0.266407293257377,2,LHS
41,0.394822266188421,8,LHS
41,0.389608399297463,3,LHS
41,0.396517392945517,2,LHS
41,0.383100104293476,5,LHS
41,0.577736771050723,8,LHS
41,0.544215091618419,3,LHS
41,0.340765318794031,4,LHS
41,0.271420798959937,3,LHS
41,0.554622467465693,10,LHS
41,0.255002245709449,3,LHS
41,0.375336476100371,5,LHS
44,0.382316237724745,3,LHS
44,0.270955266168971,4,LHS
44,0.270670156053802,3,LHS
44,0.268941202175544,3,LHS
44,0.408577306628936,4,LHS
44,0.306072024559577,2,LHS
44,0.384511672300726,2,LHS
44,0.31934321884906,5,LHS
44,0.352681592834166,3,LHS
44,0.230704155021493,2,LHS
44,0.379563055546096,4,LHS
44,0.472118878295018,2,LHS
44,0.3209109264199,6,LHS
44,0.309185130504819,4,LHS
44,0.313293516754676,7,LHS
44,0.314171633971723,4,LHS
44,0.280421473088094,5,LHS
44,0.450893951262102,5,LHS
44,0.270575381775191,5,LHS
44,0.447018909299671,7,LHS
44,0.264224142849625,5,LHS
44,0.29612036262617,4,LHS
44,0.38596573742642,3,LHS
44,0.292316162535146,7,LHS
44,0.53183436085081,3,LHS
44,0.484896298062187,2,LHS
44,0.286265845655214,9,LHS
44,0.465319686273608,5,LHS
44,0.217729282943328,3,LHS
44,0.437430081412644,2,LHS
48,0.354468427223765,2,LHS
48,0.25576825304927,5,LHS
48,0.245495671585393,4,LHS
48,0.311167625923782,4,LHS
48,0.220844320597837,2,LHS
48,0.386851025667223,6,LHS
48,0.479952653404106,3,LHS
48,0.297710951424129,2,LHS
48,0.36272628899668,2,LHS
48,0.523951146000068,5,LHS
48,0.302541269138517,2,LHS
48,0.271688223598536,3,LHS
48,0.35231028116045,3,LHS
48,0.351317705469955,6,LHS
48,0.274123341977189,3,LHS
48,0.345125121022083,5,LHS
48,0.286883277951034,7,LHS
48,0.259801604870399,2,LHS
48,0.235484355919257,3,LHS
48,0.23599440014401,4,LHS
48,0.314366979499629,6,LHS
48,0.391618091605406,2,LHS
48,0.411268591181321,2,LHS
48,0.421360426062602,8,LHS
48,0.312139346083425,2,LHS
48,0.345635631496068,2,LHS
48,0.437561824648124,3,LHS
48,0.453099199186538,3,LHS
48,0.313208901549245,5,LHS
48,0.30501412532455,3,LHS
52,0.363285056733956,4,LHS
52,0.400097322899829,2,LHS
52,0.336917010381234,3,LHS
52,0.267329460377173,3,LHS
52,0.276815334990249,3,LHS
52,0.469166612088998,3,LHS
52,0.191054885923939,3,LHS
52,0.46149330491053,4,LHS
52,0.355792959892337,6,LHS
52,0.412650625946611,3,LHS
52,0.34643167206393,3,LHS
52,0.471692684933158,5,LHS
52,0.318555960948087,6,LHS
52,0.272576038544434,2,LHS
